algorithm,dataset,threshold,mu,total_twu,attempt,runtime_ms,memory_kb,managed_memory_kb,total_rss_kb,closed_hui_count,max_hui_count,candidates_count,max_hui_checks
MaxCHuim,BMS-POS,0.09,46341115,514901286,1,1640.68,238804,235198,480764,1,1,5,1
MaxCHuim,BMS-POS,0.09,46341115,514901286,2,1623.43,186768,235471,472992,1,1,5,1
MaxCHuim,BMS-POS,0.09,46341115,514901286,3,1637.70,253128,235183,487192,1,1,5,1
MaxCHuimBitmax,BMS-POS,0.09,46341115,514901286,1,1635.32,183144,235220,472612,1,1,5,1
MaxCHuimBitmax,BMS-POS,0.09,46341115,514901286,2,1617.84,181676,235166,471444,1,1,5,1
MaxCHuimBitmax,BMS-POS,0.09,46341115,514901286,3,1640.70,159436,235070,477056,1,1,5,1
MaxCHuim,BMS-POS,0.07,36043090,514901286,1,1890.96,261564,233956,505664,3,2,8,3
MaxCHuim,BMS-POS,0.07,36043090,514901286,2,1902.36,241960,232913,480044,3,2,8,3
MaxCHuim,BMS-POS,0.07,36043090,514901286,3,1910.03,240268,233008,480540,3,2,8,3
MaxCHuimBitmax,BMS-POS,0.07,36043090,514901286,1,1910.01,197904,232372,481300,3,2,8,3
MaxCHuimBitmax,BMS-POS,0.07,36043090,514901286,2,1888.70,261328,279791,495244,3,2,8,3
MaxCHuimBitmax,BMS-POS,0.07,36043090,514901286,3,1885.72,189300,233628,469608,3,2,8,3
MaxCHuim,BMS-POS,0.05,25745064,514901286,1,7480.90,274008,324895,563992,4,3,15,4
MaxCHuim,BMS-POS,0.05,25745064,514901286,2,7512.76,278816,321365,560152,4,3,15,4
MaxCHuim,BMS-POS,0.05,25745064,514901286,3,7496.65,283472,324722,575760,4,3,15,4
MaxCHuimBitmax,BMS-POS,0.05,25745064,514901286,1,7403.17,271752,319407,569684,4,3,15,4
MaxCHuimBitmax,BMS-POS,0.05,25745064,514901286,2,7378.29,274664,324620,558860,4,3,15,4
